experiment,algorithm,n_agents,seed,rl_profit_per_agent_step,delta,episodes_used,mean_price_ratio,greedy_profit_per_agent_step,delta_greedy
E3,ppo,2,53,0.4520487877461707,0.4126963964297889,457,1.6465483588621446,0.34789600348091254,-0.988861272145625
E3,ppo,2,54,0.44357468271334793,0.2986625088400167,457,1.621270021881838,0.4140645147067378,-0.09844835634123865
E3,ppo,2,55,0.4415308818380744,0.271159597516154,457,1.6193634573304156,0.47399929825002934,0.708078863090264
E3,ppo,2,56,0.4160171181619256,-0.07217266562772388,457,1.4332487964989058,0.3389054829354087,-1.1098444326432262
E3,ppo,2,57,0.44243849671772434,0.2833731413369972,457,1.6560606126914659,0.443573425380487,0.2986455892297957
E3,ppo,2,58,0.44025833260393876,0.25403522441058096,457,1.6096164113785558,0.35155417242093245,-0.939634218188321
E3,ppo,2,59,0.44777075929978116,0.3551280499115573,457,1.6743800875273522,0.4649710393979596,0.5865878677485
E3,ppo,2,60,0.44749532822757115,0.35142164365325956,457,1.6558428884026257,0.4383104986900902,0.22782371620823758
E3,ppo,2,61,0.44478497592997807,0.3149491184679707,457,1.641600875273523,0.45649714406690145,0.4725568020623225
E4,tql,2,42,0.34111341794310723,-1.0801328098230931,457,1.0937827133479214,0.23966816785446418,-2.4452558759542717
E4,tql,2,43,0.31300827571115974,-1.4583365986077221,457,1.023360612691466,0.2774527260471926,-1.9367986353501212
E4,tql,2,44,0.32408056236323857,-1.3093396382733387,457,1.025110284463895,0.3120733994293099,-1.4709169922211938
E4,tql,2,45,0.31529322319474834,-1.4275886383826788,457,1.0267059080962802,0.4243187261333333,0.039539972646070023
E4,tql,2,46,0.317050761487965,-1.4039378902048938,457,1.0687492341356675,0.3212731288893529,-1.3471185602877385
E4,tql,2,47,0.3094447855579869,-1.5062895840829111,457,0.9479940919037199,0.2896584677714468,-1.7725490568586733
E4,tql,2,48,0.3161673544857768,-1.415825674743008,457,1.0164170678336981,0.2937618410050556,-1.7173310013533647
E4,tql,2,49,0.32107295623632387,-1.349812233038506,457,1.002065864332604,0.31851699490454666,-1.384207158055691
E4,tql,2,50,0.32554924945295405,-1.2895758876655208,457,1.089077680525164,0.3942444016609798,-0.3651626033705411
E4,tql,2,51,0.33243599999999995,-1.1969026278110766,457,1.1103849015317286,0.26894399152383236,-2.051298523233252
E4,tql,2,52,0.3299176039387309,-1.230792046486552,457,1.073559737417943,0.4289266783776567,0.10154802024672334
E4,tql,2,53,0.3408831684901532,-1.0832312184614175,457,1.1782571115973743,0.32510391786326753,-1.2955686022049073
E4,tql,2,54,0.32327789277899344,-1.3201409598036962,457,1.0561921225382933,0.332252253827171,-1.1993752535734752
E4,tql,2,55,0.3294506827133479,-1.2370752872916129,457,1.0370052516411377,0.34480802773990404,-1.0304153804751992
E4,tql,2,56,0.36484230415754926,-0.7608191911309217,457,1.2380702407002189,0.40740447348092323,-0.18807084621434345
E4,tql,2,57,0.3300237308533917,-1.2293639234446723,457,1.1646207877461705,0.3105169909376389,-1.491861187542768
E4,tql,2,58,0.3459216608315098,-1.0154295016959598,457,1.1232045951859957,0.41029398902985165,-0.1491873664817772
E4,tql,2,59,0.352632932166302,-0.9251176212068858,457,1.2454687089715537,0.373595479514044,-0.6430299247966108
E4,tql,2,60,0.32473464332603935,-1.3005378362307944,457,1.0683855579868708,0.2739384734977515,-1.9840890428483569
E4,tql,2,61,0.2925085557986871,-1.7341961433108204,457,0.9094361050328228,0.32847782040115797,-1.2501668493054052
E5,dqn,2,42,0.3520038052516411,-0.9335836229366569,457,1.1169459518599563,0.3060481499124251,-1.5519972506611692
E5,dqn,2,43,0.3495444485776806,-0.966678563513308,457,1.1414919037199127,0.395515291268613,-0.3480605634389471
E5,dqn,2,44,0.35120125820568926,-0.9443832955002021,457,1.1608365426695841,0.3667808784672887,-0.7347322870785171
E5,dqn,2,45,0.3475929671772429,-0.9929391550199149,457,1.1283877461706782,0.31045817133767867,-1.4926527080188492
E5,dqn,2,46,0.3405645098468271,-1.0875193272082184,457,1.1028109409190372,0.32101594817851514,-1.3505793760501505
E5,dqn,2,47,0.3421967133479212,-1.0655551776199765,457,1.1214172866520788,0.36733508618569977,-0.7272744540191101
E5,dqn,2,48,0.3331853282275711,-1.186819107422821,457,1.0666722100656456,0.3972396067164139,-0.3248568866869804
E5,dqn,2,49,0.3520481050328228,-0.9329874919885557,457,1.1614582056892777,0.3872619166119126,-0.4591241381991177
E5,dqn,2,50,0.3463549234135667,-1.009599196738945,457,1.141387964989059,0.4152831408297176,-0.08204961290065206
E5,dqn,2,51,0.34771762582056887,-0.9912616551936719,457,1.14612647702407,0.40144834159200526,-0.26822100622061906
E5,dqn,2,52,0.34163143107221006,-1.0731620381952531,457,1.0997477024070021,0.38843248385879986,-0.44337211089584677
E5,dqn,2,53,0.34815745076586435,-0.9853430421747469,457,1.1177592997811816,0.36674215738656674,-0.7352533468658691
E5,dqn,2,54,0.35865464113785556,-0.8440850069897208,457,1.1698549234135667,0.3249532179248797,-1.2975965331506938
E5,dqn,2,55,0.3398598905908096,-1.0970012102770577,457,1.0900748358862145,0.2731758757641043,-1.9943511276228685
E5,dqn,2,56,0.3465950875273523,-1.006367369018089,457,1.103909409190372,0.3741885983891559,-0.6350484741454904
E5,dqn,2,57,0.3563201378555799,-0.8754998270607316,457,1.1344126914660833,0.38887367036931714,-0.4374351756381901
E5,dqn,2,58,0.3456796717724289,-1.018685887243968,457,1.111874398249453,0.36733939819725264,-0.727216428370525
E5,dqn,2,59,0.344968295404814,-1.0282586990541136,457,1.0985824945295406,0.3762197380295471,-0.607715941856314
E5,dqn,2,60,0.34708184026258204,-0.9998172606021312,457,1.112735010940919,0.3528939309097545,-0.9216054271454883
E5,dqn,2,61,0.34285012472647697,-1.0567623860032211,457,1.1128960612691468,0.3590328098712835,-0.838996086015688
